windspeed,airpressure,wind,windpower,winddirect,humidity,feelst,temperature,updatetime,phenomena,citycode,cityname
9999.0,0.0,东北风,微风,9.6,79.0,,8.3,2024-03-27 12:55,阴,101010100,北京
9999.0,0.0,东北风,微风,10.2,76.0,,8.5,2024-03-27 13:55,阴,101010100,北京
9999.0,0.0,西北风,微风,10.7,75.0,,10.0,2024-03-27 14:55,阴,101010100,北京
9999.0,0.0,东北风,微风,10.4,85.0,,9.1,2024-03-27 15:55,阴,101010100,北京
9999.0,0.8,东北风,微风,11.0,80.0,,10.2,2024-03-27 16:55,小雨,101010100,北京
9999.0,0.0,西南风,微风,11.1,81.0,,10.5,2024-03-27 17:55,阴,101010100,北京
9999.0,0.0,东北风,微风,11.0,83.0,,10.6,2024-03-27 18:55,阴,101010100,北京
9999.0,0.0,东北风,微风,9.8,88.0,,8.9,2024-03-27 19:55,阴,101010100,北京
9999.0,0.0,西北风,微风,9.7,91.0,,9.4,2024-03-27 20:55,阴,101010100,北京
9999.0,0.0,东北风,微风,10.1,90.0,,9.6,2024-03-27 21:50,阴,101010100,北京
9999.0,0.4,东北风,微风,10.0,92.0,,9.3,2024-03-27 22:55,小雨,101010100,北京
9999.0,0.0,东北风,微风,9.9,92.0,,9.6,2024-03-27 23:55,阴,101010100,北京
9999.0,0.0,西南风,微风,9.2,94.0,,8.7,2024-03-28 00:55,阴,101010100,北京
9999.0,0.0,西北风,微风,13.4,16.0,,10.0,2024-03-28 01:55,多云,101010100,北京
9999.0,0.0,西北风,微风,12.6,14.0,,9.2,2024-03-28 02:55,多云,101010100,北京
9999.0,0.0,西北风,微风,11.6,15.0,,9.2,2024-03-28 03:55,多云,101010100,北京
9999.0,0.0,西北风,微风,10.6,15.0,,7.1,2024-03-28 04:55,多云,101010100,北京
9999.0,0.0,东北风,4级,9.5,14.0,,4.2,2024-03-28 05:55,多云,101010100,北京
9999.0,0.0,西北风,微风,8.9,13.0,,5.4,2024-03-28 06:55,多云,101010100,北京
9999.0,0.0,西北风,微风,9.3,13.0,,6.0,2024-03-28 07:55,晴,101010100,北京
9999.0,0.0,西北风,3级,9.7,11.0,,5.5,2024-03-28 08:55,晴,101010100,北京
9999.0,0.0,西北风,4级,10.9,8.0,,5.3,2024-03-28 09:55,晴,101010100,北京
9999.0,0.0,西北风,微风,12.4,8.0,,8.8,2024-03-28 10:55,晴,101010100,北京
9999.0,0.0,西北风,3级,13.3,7.0,,9.5,2024-03-28 11:55,晴,101010100,北京
9999.0,0.0,东北风,微风,9.6,79.0,,8.3,2024-03-27 12:55,阴,101010200,海淀
9999.0,0.0,东北风,微风,10.2,76.0,,8.5,2024-03-27 13:55,阴,101010200,海淀
9999.0,0.0,西北风,微风,10.7,75.0,,10.0,2024-03-27 14:55,阴,101010200,海淀
9999.0,0.0,东北风,微风,10.4,85.0,,9.1,2024-03-27 15:55,阴,101010200,海淀
9999.0,0.8,东北风,微风,11.0,80.0,,10.2,2024-03-27 16:55,小雨,101010200,海淀
9999.0,0.0,西南风,微风,11.1,81.0,,10.5,2024-03-27 17:55,阴,101010200,海淀
9999.0,0.0,东北风,微风,11.0,83.0,,10.6,2024-03-27 18:55,阴,101010200,海淀
9999.0,0.0,东北风,微风,9.8,88.0,,8.9,2024-03-27 19:55,阴,101010200,海淀
9999.0,0.0,西北风,微风,9.7,91.0,,9.4,2024-03-27 20:55,阴,101010200,海淀
9999.0,0.0,东北风,微风,10.1,90.0,,9.6,2024-03-27 21:50,阴,101010200,海淀
9999.0,0.4,东北风,微风,10.0,92.0,,9.3,2024-03-27 22:55,小雨,101010200,海淀
9999.0,0.0,东北风,微风,9.9,92.0,,9.6,2024-03-27 23:55,阴,101010200,海淀
9999.0,0.0,西南风,微风,9.2,94.0,,8.7,2024-03-28 00:55,阴,101010200,海淀
9999.0,0.0,西北风,微风,13.4,16.0,,10.0,2024-03-28 01:55,多云,101010200,海淀
9999.0,0.0,西北风,微风,12.6,14.0,,9.2,2024-03-28 02:55,多云,101010200,海淀
9999.0,0.0,西北风,微风,11.6,15.0,,9.2,2024-03-28 03:55,多云,101010200,海淀
9999.0,0.0,西北风,微风,10.6,15.0,,7.1,2024-03-28 04:55,多云,101010200,海淀
